תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
14-02-2024,Benedict,Restaurants,476.94,
29-02-2024,Delek,Transport,121.39,
05-02-2024,Arcaffe,Restaurants,505.61,
23-02-2024,Water Bill,Utilities,558.78,
14-02-2024,Playstation,Entertainment,280.22,
18-02-2024,Electric Co,Utilities,205.27,
22-02-2024,Lime Scooters,Transport,203.32,
18-02-2024,Moovit,Transport,201.0,
18-02-2024,Pango,Transport,253.57,
23-02-2024,Mega,Groceries,311.38,
23-02-2024,Giraffe,Restaurants,236.14,
03-02-2024,Bezeq,Utilities,84.38,
02-02-2024,Dominos Pizza,Restaurants,389.38,
19-02-2024,Spotify,Entertainment,137.47,
11-02-2024,Electric Co,Utilities,141.42,
