תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
10-06-2024,Amazon,Shopping,527.92,
19-06-2024,Super Yuda,Groceries,223.47,
10-06-2024,Lime Scooters,Transport,307.96,
05-06-2024,Terminal X,Shopping,549.99,
13-06-2024,Spotify,Entertainment,580.11,
21-06-2024,Water Bill,Utilities,409.82,
26-06-2024,Spotify,Entertainment,570.52,
19-06-2024,Golda,Restaurants,251.61,
21-06-2024,Terminal X,Shopping,203.43,
21-06-2024,Electric Co,Utilities,263.48,
09-06-2024,Hot Mobile,Transport,187.38,
02-06-2024,Netflix,Entertainment,70.54,
03-06-2024,Pango,Transport,347.56,
24-06-2024,KSP,Shopping,540.03,
04-06-2024,Arnona TLV,Utilities,428.02,
05-06-2024,Aroma,Restaurants,407.71,
05-06-2024,Moovit,Transport,584.72,
27-06-2024,Lime Scooters,Transport,217.13,
06-06-2024,Netflix,Entertainment,253.39,
26-06-2024,Aroma,Restaurants,126.52,
14-06-2024,Pango,Transport,250.24,
06-06-2024,Benedict,Restaurants,327.33,
17-06-2024,Water Bill,Utilities,309.96,
22-06-2024,Arcaffe,Restaurants,271.36,
