תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
08-04-2024,Arcaffe,Restaurants,573.79,
27-04-2024,Moovit,Transport,524.52,
16-04-2024,Benedict,Restaurants,219.15,
12-04-2024,McDonalds,Restaurants,505.44,
29-04-2024,Water Bill,Utilities,194.72,
25-04-2024,Cinema City,Entertainment,229.37,
09-04-2024,Giraffe,Restaurants,350.84,
11-04-2024,Super Yuda,Groceries,392.66,
06-04-2024,Victory,Groceries,297.05,
07-04-2024,Aroma,Restaurants,357.11,
06-04-2024,Golda,Restaurants,221.25,
06-04-2024,Playstation,Entertainment,366.75,
25-04-2024,Giraffe,Restaurants,275.69,
26-04-2024,Spotify,Entertainment,279.45,
06-04-2024,Rami Levy,Groceries,356.99,
26-04-2024,Spotify,Entertainment,156.77,
02-04-2024,AM:PM,Groceries,519.72,
