תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
04-09-2024,Super Pharm,Shopping,224.6,
12-09-2024,Benedict,Restaurants,202.03,
07-09-2024,Super Pharm,Shopping,320.68,
12-09-2024,Amazon,Shopping,94.28,
17-09-2024,Lime Scooters,Transport,179.67,
09-09-2024,Water Bill,Utilities,370.13,
20-09-2024,Steam,Entertainment,541.11,
07-09-2024,Hot Mobile,Transport,363.94,
17-09-2024,Super Yuda,Groceries,512.8,
06-09-2024,Paz Fuel,Transport,378.86,
19-09-2024,Giraffe,Restaurants,200.67,
18-09-2024,Pango,Transport,249.51,
08-09-2024,Bezeq,Utilities,394.9,
22-09-2024,Super Pharm,Shopping,99.3,
29-09-2024,Arnona TLV,Utilities,434.97,
07-09-2024,Delek,Transport,575.7,
04-09-2024,Steam,Entertainment,488.85,
06-09-2024,KSP,Shopping,64.68,
28-09-2024,Zara,Shopping,480.31,
