תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
10-07-2024,Paz Fuel,Transport,532.07,
08-07-2024,Arnona TLV,Utilities,450.02,
06-07-2024,Shufersal,Groceries,538.27,
14-07-2024,Bezeq,Utilities,576.52,
25-07-2024,Bezeq,Utilities,274.72,
24-07-2024,Rami Levy,Groceries,251.63,
24-07-2024,Water Bill,Utilities,182.0,
13-07-2024,Amazon,Shopping,175.88,
23-07-2024,Lime Scooters,Transport,344.28,
30-07-2024,Hot Mobile,Transport,568.15,
16-07-2024,Steam,Entertainment,477.25,
11-07-2024,Delek,Transport,354.29,
18-07-2024,Arcaffe,Restaurants,78.69,
31-07-2024,Super Yuda,Groceries,289.5,
26-07-2024,Spotify,Entertainment,97.34,
06-07-2024,Cinema City,Entertainment,478.87,
14-07-2024,Amazon,Shopping,458.44,
21-07-2024,Spotify,Entertainment,288.74,
18-07-2024,Playstation,Entertainment,405.75,
02-07-2024,Hot Mobile,Transport,199.85,
24-07-2024,Paz Fuel,Transport,148.42,
01-07-2024,AliExpress,Shopping,352.52,
08-07-2024,Spotify,Entertainment,208.9,
15-07-2024,Spotify,Entertainment,498.76,
