תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
25-12-2025,AliExpress,Shopping,523.58,
12-12-2025,Electric Co,Utilities,68.03,
16-12-2025,Terminal X,Shopping,390.98,
28-12-2025,Electric Co,Utilities,486.84,
19-12-2025,McDonalds,Restaurants,460.89,
03-12-2025,Delek,Transport,424.32,
02-12-2025,Arnona TLV,Utilities,393.25,
01-12-2025,Delek,Transport,466.11,
13-12-2025,Bezeq,Utilities,389.16,
12-12-2025,Aroma,Restaurants,449.75,
03-12-2025,Cinema City,Entertainment,547.58,
16-12-2025,Netflix,Entertainment,367.09,
