תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
31-03-2025,AliExpress,Shopping,413.14,
16-03-2025,Giraffe,Restaurants,53.83,
15-03-2025,Golda,Restaurants,543.22,
25-03-2025,Arnona TLV,Utilities,473.57,
31-03-2025,Super Yuda,Groceries,100.29,
15-03-2025,Arcaffe,Restaurants,116.35,
06-03-2025,Zara,Shopping,249.74,
10-03-2025,Aroma,Restaurants,122.69,
13-03-2025,Golda,Restaurants,400.16,
22-03-2025,Super Yuda,Groceries,91.7,
21-03-2025,Arnona TLV,Utilities,359.95,
12-03-2025,Rami Levy,Groceries,437.27,
31-03-2025,Netflix,Entertainment,521.89,
24-03-2025,Arcaffe,Restaurants,526.02,
13-03-2025,Train Israel,Transport,297.52,
18-03-2025,McDonalds,Restaurants,150.88,
07-03-2025,Shufersal,Groceries,101.6,
15-03-2025,Pango,Transport,111.11,
22-03-2025,Netflix,Entertainment,227.84,
16-03-2025,Mega,Groceries,71.95,
