תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
21-05-2025,McDonalds,Restaurants,323.86,
19-05-2025,Super Pharm,Shopping,145.72,
14-05-2025,Water Bill,Utilities,575.94,
04-05-2025,Bezeq,Utilities,276.6,
14-05-2025,Netflix,Entertainment,408.79,
11-05-2025,AM:PM,Groceries,174.52,
03-05-2025,Water Bill,Utilities,135.62,
07-05-2025,Cinema City,Entertainment,195.2,
28-05-2025,Arnona TLV,Utilities,226.19,
12-05-2025,Spotify,Entertainment,107.33,
20-05-2025,Amazon,Shopping,579.32,
23-05-2025,Playstation,Entertainment,341.94,
28-05-2025,Victory,Groceries,81.73,
19-05-2025,Bezeq,Utilities,400.62,
29-05-2025,Ivory,Shopping,207.14,
19-05-2025,Super Pharm,Shopping,171.53,
