תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
29-11-2025,Electric Co,Utilities,426.08,
21-11-2025,AliExpress,Shopping,462.21,
20-11-2025,Netflix,Entertainment,321.48,
05-11-2025,H&M,Shopping,430.4,
28-11-2025,AliExpress,Shopping,331.4,
22-11-2025,Water Bill,Utilities,231.85,
04-11-2025,Moovit,Transport,342.32,
13-11-2025,Rami Levy,Groceries,584.57,
07-11-2025,Bezeq,Utilities,141.98,
16-11-2025,Bezeq,Utilities,523.92,
18-11-2025,Terminal X,Shopping,197.17,
30-11-2025,Playstation,Entertainment,427.06,
08-11-2025,Golda,Restaurants,241.18,
01-11-2025,Rami Levy,Groceries,148.74,
10-11-2025,Super Pharm,Shopping,140.85,
18-11-2025,Steam,Entertainment,391.69,
06-11-2025,Arcaffe,Restaurants,482.82,
22-11-2025,Giraffe,Restaurants,141.24,
23-11-2025,Electric Co,Utilities,229.33,
