תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
31-08-2025,Amazon,Shopping,430.28,
11-08-2025,Amazon,Shopping,575.68,
09-08-2025,Spotify,Entertainment,542.16,
08-08-2025,Rami Levy,Groceries,348.27,
02-08-2025,Aroma,Restaurants,506.4,
12-08-2025,AM:PM,Groceries,532.33,
13-08-2025,Super Yuda,Groceries,220.3,
17-08-2025,Pango,Transport,50.48,
18-08-2025,Arnona TLV,Utilities,240.92,
22-08-2025,Arnona TLV,Utilities,284.83,
28-08-2025,Mega,Groceries,514.13,
07-08-2025,Electric Co,Utilities,482.53,
15-08-2025,Netflix,Entertainment,539.8,
11-08-2025,Delek,Transport,50.05,
