תאריך עסקה,שם בית העסק,קטגוריה,סכום חיוב,הערות
07-10-2025,Shufersal,Groceries,102.6,
22-10-2025,Mega,Groceries,83.21,
29-10-2025,Delek,Transport,184.79,
26-10-2025,Train Israel,Transport,61.85,
22-10-2025,Dominos Pizza,Restaurants,490.2,
01-10-2025,Water Bill,Utilities,203.73,
28-10-2025,Super Pharm,Shopping,355.73,
22-10-2025,Tiv Taam,Groceries,476.13,
23-10-2025,Giraffe,Restaurants,560.31,
07-10-2025,Mega,Groceries,595.67,
12-10-2025,Netflix,Entertainment,63.46,
25-10-2025,Playstation,Entertainment,151.05,
31-10-2025,Steam,Entertainment,318.06,
19-10-2025,Terminal X,Shopping,145.71,
13-10-2025,Fox,Shopping,107.18,
26-10-2025,Super Pharm,Shopping,401.13,
